Subject,Procedure.Block.,STIM_TYPE,STIM_PARAM,STIM_DIRECTION,ANSWER,ANSWER_RT,condition,gender,date
1,Better,acoustic,timbre,high-low,,,better,f,21-Apr
1,Better,acoustic,harmony,high-low,,,better,f,21-Apr
1,Better,synth,location_1,high-low,,,better,f,21-Apr
1,Better,synth,duration,high-low,,,better,f,21-Apr
1,Better,synth,harmony,high-low,A, 1302,better,f,21-Apr
1,Better,synth,pitch,high-low,A,  963,better,f,21-Apr
1,Better,synth,location_1,high-low,A,  445,better,f,21-Apr
1,Better,acoustic,order,low-high,B,  639,better,f,21-Apr
1,Better,synth,clarity,high-low,A,  343,better,f,21-Apr
1,Better,synth,noise_pink,high-low,A, 1096,better,f,21-Apr
1,Better,acoustic,timbre,low-high,A,  660,better,f,21-Apr
1,Better,acoustic,pitch,low-high,A,  775,better,f,21-Apr
1,Better,synth,clarity,low-high,B,  341,better,f,21-Apr
1,Better,acoustic,timbre,high-low,B,  176,better,f,21-Apr
1,Better,synth,loudness,low-high,B,  687,better,f,21-Apr
1,Better,synth,timbre_2,high-low,A,  307,better,f,21-Apr
1,Better,synth,noise_red,low-high,A,  310,better,f,21-Apr
1,Better,acoustic,duration,low-high,A,  369,better,f,21-Apr
1,Better,synth,duration,low-high,A,  250,better,f,21-Apr
1,Better,synth,register,low-high,B,  456,better,f,21-Apr
1,Better,synth,rate_of_change,low-high,A, 1461,better,f,21-Apr
1,Better,synth,noise_pink,low-high,A,  281,better,f,21-Apr
1,Better,synth,noise_red,high-low,A,  538,better,f,21-Apr
1,Better,acoustic,pitch,high-low,A,  366,better,f,21-Apr
1,Better,acoustic,register,low-high,A,  274,better,f,21-Apr
1,Better,synth,noise_white,low-high,A,   97,better,f,21-Apr
1,Better,synth,attack_decay,low-high,B,  656,better,f,21-Apr
1,Better,acoustic,location_1,low-high,B,  361,better,f,21-Apr
1,Better,acoustic,loudness,high-low,A,  247,better,f,21-Apr
1,Better,acoustic,location_1,high-low,A,  182,better,f,21-Apr
1,Better,synth,pitch,low-high,B,  362,better,f,21-Apr
1,Better,synth,duration,high-low,A, 1657,better,f,21-Apr
1,Better,acoustic,attack_decay,high-low,A,  561,better,f,21-Apr
1,Better,synth,order,high-low,A,  265,better,f,21-Apr
1,Better,synth,loudness,high-low,A,  313,better,f,21-Apr
1,Better,acoustic,harmony,low-high,A,  377,better,f,21-Apr
1,Better,acoustic,attack_decay,low-high,B,  824,better,f,21-Apr
1,Better,synth,timbre_1,high-low,A,  358,better,f,21-Apr
1,Better,synth,noise_white,high-low,B,  409,better,f,21-Apr
1,Better,acoustic,clarity,low-high,B,  369,better,f,21-Apr
1,Better,acoustic,order,high-low,A,  598,better,f,21-Apr
1,Better,synth,register,high-low,A,  421,better,f,21-Apr
1,Better,synth,location_1,low-high,B,  546,better,f,21-Apr
1,Better,synth,order,low-high,B,  369,better,f,21-Apr
1,Better,acoustic,loudness,low-high,B,  341,better,f,21-Apr
1,Better,synth,attack_decay,high-low,A,  478,better,f,21-Apr
1,Better,acoustic,rate_of_change,high-low,A,  329,better,f,21-Apr
1,Better,acoustic,harmony,high-low,A,  320,better,f,21-Apr
1,Better,synth,harmony,low-high,A,  495,better,f,21-Apr
1,Better,acoustic,register,high-low,A,  374,better,f,21-Apr
1,Better,synth,timbre_2,low-high,A,  721,better,f,21-Apr
1,Better,synth,rate_of_change,high-low,A,  501,better,f,21-Apr
1,Better,acoustic,rate_of_change,low-high,A,  338,better,f,21-Apr
1,Better,acoustic,duration,high-low,A,  542,better,f,21-Apr
1,Better,acoustic,clarity,high-low,A,  552,better,f,21-Apr
1,Better,synth,timbre_1,low-high,A,  476,better,f,21-Apr
2,Worse,synth,noise_red,high-low,,,worse,f,23-Apr
2,Worse,synth,order,low-high,,,worse,f,23-Apr
2,Worse,synth,clarity,high-low,,,worse,f,23-Apr
2,Worse,acoustic,register,low-high,,,worse,f,23-Apr
2,Worse,synth,register,low-high,A,  446,worse,f,23-Apr
2,Worse,synth,noise_white,high-low,B,  718,worse,f,23-Apr
2,Worse,synth,clarity,low-high,A,  256,worse,f,23-Apr
2,Worse,synth,pitch,high-low,B,  292,worse,f,23-Apr
2,Worse,synth,noise_red,high-low,B,  240,worse,f,23-Apr
2,Worse,synth,timbre_1,low-high,A,  343,worse,f,23-Apr
2,Worse,acoustic,order,high-low,A, 1863,worse,f,23-Apr
2,Worse,acoustic,harmony,low-high,A,  286,worse,f,23-Apr
2,Worse,synth,location_1,low-high,B,  298,worse,f,23-Apr
2,Worse,acoustic,harmony,high-low,A,  277,worse,f,23-Apr
2,Worse,synth,location_1,high-low,A,  245,worse,f,23-Apr
2,Worse,acoustic,attack_decay,high-low,A,  252,worse,f,23-Apr
2,Worse,acoustic,timbre,low-high,A,  279,worse,f,23-Apr
2,Worse,synth,timbre_1,high-low,B,  178,worse,f,23-Apr
2,Worse,synth,noise_red,low-high,A,  400,worse,f,23-Apr
2,Worse,synth,order,low-high,B,  225,worse,f,23-Apr
2,Worse,synth,rate_of_change,high-low,B,  749,worse,f,23-Apr
2,Worse,acoustic,rate_of_change,low-high,A,  277,worse,f,23-Apr
2,Worse,synth,noise_pink,high-low,B,  232,worse,f,23-Apr
2,Worse,acoustic,location_1,low-high,A,  239,worse,f,23-Apr
2,Worse,synth,noise_pink,low-high,A,  270,worse,f,23-Apr
2,Worse,acoustic,clarity,high-low,B,  243,worse,f,23-Apr
2,Worse,acoustic,rate_of_change,high-low,A,  218,worse,f,23-Apr
2,Worse,acoustic,loudness,high-low,B,  303,worse,f,23-Apr
2,Worse,synth,rate_of_change,low-high,A,  239,worse,f,23-Apr
2,Worse,synth,timbre_2,low-high,A,  322,worse,f,23-Apr
2,Worse,synth,timbre_2,high-low,B,  224,worse,f,23-Apr
2,Worse,synth,register,high-low,B,  275,worse,f,23-Apr
2,Worse,acoustic,pitch,low-high,A,  233,worse,f,23-Apr
2,Worse,synth,pitch,low-high,A,  223,worse,f,23-Apr
2,Worse,acoustic,timbre,high-low,B,  274,worse,f,23-Apr
2,Worse,synth,harmony,low-high,A,  214,worse,f,23-Apr
2,Worse,synth,loudness,high-low,B,  396,worse,f,23-Apr
2,Worse,synth,clarity,high-low,B,  359,worse,f,23-Apr
2,Worse,acoustic,order,low-high,A,  459,worse,f,23-Apr
2,Worse,acoustic,loudness,low-high,A,  260,worse,f,23-Apr
2,Worse,synth,harmony,high-low,A,  238,worse,f,23-Apr
2,Worse,acoustic,attack_decay,low-high,A,  200,worse,f,23-Apr
