PARAM,VALUE,STIM_PARAM,STIM_TYPE,GENDER,N,RT_MEAN,RT_SD,RT_MEDIAN,better_low,better_high,worse_low,worse_high,count_sum,tot_pref_low,tot_pref_high,diff_worse_better_idx,pref_idx
STIM_TYPE,acoustic,timbre harmony order pitch duration register location_1 loudness attack_decay clarity rate_of_change,acoustic,F M,784,1182,1780,610,132,220,214,160,726,292,434,0.047,0.196
STIM_TYPE,synth,location_1 duration harmony pitch clarity noise_pink loudness timbre_2 noise_red register rate_of_change noise_white attack_decay order timbre_1,synth,F M,1064,1128,1653,614,208,272,291,219,990,427,563,0.03,0.137
STIM_PARAM,attack_decay,attack_decay,synth acoustic,F M,145,840,932,569,26,38,43,25,132,51,81,0.045,0.227
STIM_PARAM,clarity,clarity,synth acoustic,F M,141,975,1697,506,22,42,43,25,132,47,85,0.03,0.288
STIM_PARAM,duration,duration,synth acoustic,F M,145,1415,2795,690,25,39,37,31,132,56,76,0.061,0.152
STIM_PARAM,harmony,harmony,acoustic synth,F M,145,1090,1344,608,27,37,41,27,132,54,78,0.03,0.182
STIM_PARAM,location_1,location_1,synth acoustic,F M,140,1294,1707,683,27,37,39,29,132,56,76,0.03,0.152
STIM_PARAM,loudness,loudness,synth acoustic,F M,140,860,1081,518,9,55,49,19,132,28,104,0.121,0.576
STIM_PARAM,noise_pink,noise_pink,synth,F M,70,1367,1966,602,21,11,10,24,66,45,21,0.061,-0.364
STIM_PARAM,noise_red,noise_red,synth,F M,70,1120,1815,718,13,19,21,13,66,26,40,0.03,0.212
STIM_PARAM,noise_white,noise_white,synth,F M,73,1004,919,694,23,9,12,22,66,45,21,0.061,-0.364
STIM_PARAM,order,order,acoustic synth,F M,141,1426,1826,741,26,38,50,18,132,44,88,0.152,0.333
STIM_PARAM,pitch,pitch,synth acoustic,F M,143,1122,1846,630,27,37,35,33,132,60,72,0.061,0.091
STIM_PARAM,rate_of_change,rate_of_change,synth acoustic,F M,140,1564,2298,783,28,36,35,33,132,61,71,0.045,0.076
STIM_PARAM,register,register,synth acoustic,F M,141,978,1033,553,22,42,31,37,132,59,73,0.197,0.106
STIM_PARAM,timbre,timbre,acoustic,F M,72,1405,1444,872,12,20,20,14,66,26,40,0.03,0.212
STIM_PARAM,timbre_1,timbre_1,synth,F M,73,876,1165,512,20,12,13,21,66,41,25,0.03,-0.242
STIM_PARAM,timbre_2,timbre_2,synth,F M,69,1026,1594,578,12,20,26,8,66,20,46,0.152,0.394
STIM_TYPE STIM_PARAM,acoustic attack_decay,attack_decay,acoustic,F M,77,896,1175,514,13,19,21,13,66,26,40,0.03,0.212
STIM_TYPE STIM_PARAM,synth attack_decay,attack_decay,synth,F M,68,784,602,634,13,19,22,12,66,25,41,0.061,0.242
STIM_TYPE STIM_PARAM,acoustic clarity,clarity,acoustic,F M,70,904,1111,496,10,22,25,9,66,19,47,0.061,0.424
STIM_TYPE STIM_PARAM,synth clarity,clarity,synth,F M,71,1046,2135,510,12,20,18,16,66,28,38,0.091,0.152
STIM_TYPE STIM_PARAM,acoustic duration,duration,acoustic,F M,73,1487,3292,658,11,21,17,17,66,28,38,0.152,0.152
STIM_TYPE STIM_PARAM,synth duration,duration,synth,F M,72,1344,2213,712,14,18,20,14,66,28,38,0.03,0.152
STIM_TYPE STIM_PARAM,acoustic harmony,harmony,acoustic,F M,72,953,995,590,15,17,19,15,66,30,36,0.03,0.091
STIM_TYPE STIM_PARAM,synth harmony,harmony,synth,F M,73,1227,1616,626,12,20,22,12,66,24,42,0.03,0.273
STIM_TYPE STIM_PARAM,acoustic location_1,location_1,acoustic,F M,69,1291,1570,696,15,17,20,14,66,29,37,0.061,0.121
STIM_TYPE STIM_PARAM,synth location_1,location_1,synth,F M,71,1298,1846,628,12,20,19,15,66,27,39,0.061,0.182
STIM_TYPE STIM_PARAM,acoustic loudness,loudness,acoustic,F M,71,1056,1411,555,5,27,20,14,66,19,47,0.242,0.424
STIM_TYPE STIM_PARAM,synth loudness,loudness,synth,F M,69,664,537,482,4,28,29,5,66,9,57,0.03,0.727
STIM_TYPE STIM_PARAM,synth noise_pink,noise_pink,synth,F M,70,1367,1966,602,21,11,10,24,66,45,21,0.061,-0.364
STIM_TYPE STIM_PARAM,synth noise_red,noise_red,synth,F M,70,1120,1815,718,13,19,21,13,66,26,40,0.03,0.212
STIM_TYPE STIM_PARAM,synth noise_white,noise_white,synth,F M,73,1004,919,694,23,9,12,22,66,45,21,0.061,-0.364
STIM_TYPE STIM_PARAM,acoustic order,order,acoustic,F M,70,1424,1852,652,9,23,29,5,66,14,52,0.152,0.576
STIM_TYPE STIM_PARAM,synth order,order,synth,F M,71,1427,1815,772,17,15,21,13,66,30,36,0.152,0.091
STIM_TYPE STIM_PARAM,acoustic pitch,pitch,acoustic,F M,69,861,879,615,15,17,16,18,66,33,33,0.061,0
STIM_TYPE STIM_PARAM,synth pitch,pitch,synth,F M,74,1384,2440,650,12,20,19,15,66,27,39,0.061,0.182
STIM_TYPE STIM_PARAM,acoustic rate_of_change,rate_of_change,acoustic,F M,69,1785,2853,884,12,20,15,19,66,31,35,0.182,0.061
STIM_TYPE STIM_PARAM,synth rate_of_change,rate_of_change,synth,F M,71,1342,1551,747,16,16,20,14,66,30,36,0.091,0.091
STIM_TYPE STIM_PARAM,acoustic register,register,acoustic,F M,72,944,1028,518,15,17,12,22,66,37,29,0.182,-0.121
STIM_TYPE STIM_PARAM,synth register,register,synth,F M,69,1012,1044,574,7,25,19,15,66,22,44,0.212,0.333
STIM_TYPE STIM_PARAM,acoustic timbre,timbre,acoustic,F M,72,1405,1444,872,12,20,20,14,66,26,40,0.03,0.212
STIM_TYPE STIM_PARAM,synth timbre_1,timbre_1,synth,F M,73,876,1165,512,20,12,13,21,66,41,25,0.03,-0.242
STIM_TYPE STIM_PARAM,synth timbre_2,timbre_2,synth,F M,69,1026,1594,578,12,20,26,8,66,20,46,0.152,0.394
STIM_TYPE STIM_PARAM gender,acoustic attack_decay 1,attack_decay,acoustic,F,45,868,906,548,8,14,13,5,40,13,27,0.1,0.35
STIM_TYPE STIM_PARAM gender,synth attack_decay 1,attack_decay,synth,F,42,755,662,540,8,14,14,4,40,12,28,0.1,0.4
STIM_TYPE STIM_PARAM gender,acoustic clarity 1,clarity,acoustic,F,44,845,1106,476,6,16,12,6,40,12,28,0.1,0.4
